SID,Trial,Repetition,Loc,Resp,Corr,RT,ImgName
9,11,2,2,1,1,1641.05,nonwin9.png
9,12,2,1,2,1,1214.32,nonwin3.png
9,13,1,1,2,1,1491.65,nonwex2_5.png
9,14,2,3,1,1,1552.87,nonwex2_3.png
9,15,1,1,1,1,1766.2,nonwex2.png
9,16,1,1,1,1,1723.47,nonwin8.png
9,17,1,2,1,1,1656.73,nonwin2.png
9,18,1,2,2,1,1566.01,nonwex3.png
9,19,2,2,1,1,1771.23,nonwin11.png
9,20,1,3,2,1,1680.55,nonwin2_8.png
9,21,1,1,2,1,1613.85,nonwin1.png
9,22,1,4,1,1,1491.13,nonwin2_2.png
9,23,1,2,1,1,1544.35,nonwex11.png
9,24,1,3,1,1,1909.6,nonwin6.png
9,25,2,2,2,1,1794.7,nonwin2_10.png
9,26,2,3,1,1,1832.16,nonwin2_5.png
9,27,2,2,1,1,1645.41,nonwex2_2.png
9,28,1,4,2,1,1946.76,nonwex2_9.png
9,29,2,3,2,1,1911.98,nonwex7.png
9,30,2,4,2,1,1773.29,nonwin2_12.png
9,31,2,1,2,1,1706.51,nonwin2_3.png
9,32,2,4,2,1,1615.84,nonwin5.png
9,33,1,3,2,1,1757.06,nonwex6.png
9,34,1,2,1,1,1514.41,nonwex8.png
9,35,1,2,2,1,1591.66,nonwin7.png
9,36,2,1,2,1,1764.94,nonwex5.png
9,37,2,1,2,1,1962.2,nonwex2_1.png
9,38,1,4,1,1,1751.52,nonwin2_4.png
9,39,1,4,2,1,2100.8,nonwin2_11.png
9,40,2,2,2,1,2745.99,nonwin2_6.png
9,41,1,3,2,1,2591.31,nonwin12.png
9,42,1,4,1,1,1516.42,nonwex4.png
9,43,1,4,1,1,1769.81,nonwex2_8.png
9,44,2,4,1,1,1775.1,nonwex2_10.png
9,45,2,3,2,1,1876.41,nonwex1.png
9,46,1,1,1,1,1897.74,nonwin2_1.png
9,47,2,4,2,1,1910.98,nonwin4.png
9,48,2,3,2,1,1588.26,nonwin10.png
10,1,1,2,2,1,1157.44,nonwex2_12.png
10,2,2,3,2,1,969.67,nonwin12.png
10,3,1,3,2,1,1301.91,nonwex5.png
10,4,1,1,2,1,1218.18,nonwin4.png
10,5,2,3,2,1,806.41,nonwin2_4.png
10,6,2,2,1,1,1098.67,nonwin2_2.png
10,7,1,3,1,1,774.84,nonwin11.png
10,8,1,3,2,1,811.16,nonwex8.png
10,9,1,2,1,1,951.39,nonwin6.png
10,10,1,1,1,1,1155.59,nonwex2_1.png
10,11,2,2,2,1,951.86,nonwin2_3.png
10,12,2,3,2,1,748.14,nonwin2_5.png
10,13,2,2,2,1,536.17,nonwin5.png
10,14,1,1,1,1,924.66,nonwin2_12.png
10,15,1,4,2,1,568.84,nonwex2_8.png
10,16,1,4,2,1,941.1,nonwin9.png
10,17,1,1,2,1,825.3,nonwin1.png
10,18,1,2,2,1,1229.6,nonwex7.png
10,19,2,3,2,1,673.8,nonwex2_10.png
10,20,1,3,2,1,438.04,nonwex3.png
10,21,1,3,0,0,0,nonwex2_9.png
10,22,1,1,2,1,822.52,nonwex2_11.png
10,23,2,4,2,1,690.77,nonwin10.png
10,24,1,2,2,1,527.05,nonwex2_5.png
10,25,1,4,2,1,507.32,nonwex10.png
10,26,1,2,2,1,519.54,nonwex2.png
10,27,2,1,2,1,339.79,nonwex6.png
10,28,1,4,2,1,303.82,nonwin2_7.png
10,29,2,4,2,1,524.32,nonwex2_2.png
10,30,2,4,2,1,568.5,nonwex4.png
10,31,1,4,0,0,0,nonwin2_6.png
10,32,2,1,2,1,1161.06,nonwex1.png
10,33,2,2,2,1,701.28,nonwex2_6.png
10,34,2,3,1,1,985.54,nonwin7.png
10,35,2,4,2,1,901.78,nonwex2_7.png
10,36,2,2,0,0,0,nonwin8.png
10,37,1,1,0,0,0,nonwin2.png
10,38,2,1,0,0,0,nonwin2_1.png
10,39,1,4,2,1,1214.76,nonwin2_11.png
10,40,2,2,0,0,0,nonwin2_9.png
10,41,2,1,2,1,2167.28,nonwex2_4.png
10,42,1,2,0,0,0,nonwex2_3.png
10,43,1,3,0,0,0,nonwex9.png
10,44,2,1,2,1,2668.01,nonwin3.png
10,45,2,4,2,1,504.24,nonwex11.png
10,46,2,1,2,1,332.47,nonwin2_8.png
10,47,2,4,0,0,0,nonwex12.png
10,48,2,3,0,0,0,nonwin2_10.png
11,1,1,2,1,1,1168.64,nonwin10.png
11,2,1,2,2,1,1220.9,nonwex12.png
11,3,1,2,2,1,1145.1,nonwex2_4.png
11,4,1,4,2,1,1693.41,nonwin2_9.png
11,5,2,3,2,1,1673.64,nonwex2_5.png
11,6,1,3,1,1,1117.89,nonwex4.png
11,7,2,2,1,1,1658.11,nonwin6.png
11,8,1,1,1,1,1022.38,nonwin12.png
11,9,1,4,1,1,1442.66,nonwin2_8.png
11,10,2,4,1,1,1694.94,nonwex3.png
11,11,2,4,2,1,770.85,nonwex9.png
11,12,1,1,2,1,1319.38,nonwex2_2.png
11,13,2,2,1,1,1891.64,nonwex2.png
11,14,2,4,2,1,1191.84,nonwex2_9.png
11,15,2,2,1,1,1740.12,nonwex2_1.png
11,16,2,3,2,1,880.34,nonwex8.png
11,17,1,4,1,1,1972.65,nonwex2_7.png
11,18,1,2,2,1,1792.93,nonwin2_2.png
11,19,1,4,2,1,1357.14,nonwin2_3.png
11,20,2,2,2,1,1665.43,nonwex2_11.png
11,21,1,4,2,1,1173.57,nonwin2_1.png
11,22,2,1,2,1,1017.84,nonwin11.png
11,23,1,1,1,1,1262.13,nonwin2_4.png
11,24,2,3,2,1,2186.45,nonwin2_6.png
11,25,2,4,1,1,2062.72,nonwin2_12.png
11,26,2,1,2,1,1650.73,nonwex5.png
11,27,1,3,1,1,1311.2,nonwin7.png
11,28,2,4,2,1,1027.41,nonwin2_7.png
11,29,1,2,2,1,1415.65,nonwin8.png
11,30,1,1,1,1,2251.97,nonwin2_5.png
11,31,2,1,2,1,1440.12,nonwex2_8.png
